[2023-01-29 18:53:49,581] Precondition - Step 01 : Open URL 
[2023-01-29 18:54:05,766] TC_04 - state cannot have special characters
[2023-01-29 18:54:05,766] TC_04 - Step 07 : Enter special charactor into state field
[2023-01-29 18:54:05,959] TC_04 - Step 08 : Verify error message
[2023-01-29 18:54:06,014]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:06,015] TC_04 - state cannot have first is  space 
[2023-01-29 18:54:06,015] TC_04 - Step 09 : Enter first is blank space
[2023-01-29 18:54:06,190] TC_04 - Step 10 : Verify error message
[2023-01-29 18:54:06,248]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:06,251] TC_05 - Pin must be numberic
[2023-01-29 18:54:06,251] TC_05 - Step 01 : Enter number into PIN field 
[2023-01-29 18:54:06,440] TC_05 - Step 02 : Verify not display error message
[2023-01-29 18:54:11,525]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:11,526] TC_05 - Step 03 : Enter characters into PIN field 
[2023-01-29 18:54:11,737] TC_05 - Step 04 : Verify not display error message
[2023-01-29 18:54:11,812]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:11,812] TC_05 - Step 05 : Enter  empty into PIN field 
[2023-01-29 18:54:12,015] TC_05 - Step 06 : Verify not display error message
[2023-01-29 18:54:12,087]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:12,087] TC_05 - Step 07 : Enter  less than 6 characters into PIN field 
[2023-01-29 18:54:12,287] TC_05 - Step 08 : Verify not display error message
[2023-01-29 18:54:12,365]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:12,365] TC_05 - Step 09 : Enter  more than 6 characters into PIN field 
[2023-01-29 18:54:12,543] TC_05 - Step 10 : Verify value is 6 characters
[2023-01-29 18:54:12,601]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:12,601] TC_05 - Step 11 : Enter  special characters into PIN field 
[2023-01-29 18:54:12,774] TC_05 - Step 12 : Verify not display error message
[2023-01-29 18:54:12,838]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:12,838] TC_05 - PIN cannot have first is  space 
[2023-01-29 18:54:12,838] TC_05 - Step 13 : Enter first is blank space
[2023-01-29 18:54:13,004] TC_05 - Step 14 : Verify error message
[2023-01-29 18:54:13,079]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:13,079] TC_05 - PIN cannot  is  blank space 
[2023-01-29 18:54:13,079] TC_05 - Step 15 : Enter first is blank space
[2023-01-29 18:54:13,236] TC_05 - Step 16 : Verify error message
[2023-01-29 18:54:13,292]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:13,294] TC_06 - Name cannot be empty
[2023-01-29 18:54:13,294] TC_06 - Step 01 : Press Tab and move the next field 
[2023-01-29 18:54:13,495] TC_06 - Step 02 : Verify message not be blank display
[2023-01-29 18:54:13,556]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:13,556] TC_06 - phone cannot have first is  space 
[2023-01-29 18:54:13,556] TC_06 - Step 03 : Enter first is blank phone
[2023-01-29 18:54:13,723] TC_06 - Step 04 : Verify error message
[2023-01-29 18:54:13,790]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:13,790] TC_06 - phone cannot have space  
[2023-01-29 18:54:13,790] TC_06 - Step 05 : Enter space
[2023-01-29 18:54:13,939] TC_06 - Step 06 : Verify error message
[2023-01-29 18:54:14,011]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:14,011] TC_06 - Name cannot have special characters
[2023-01-29 18:54:14,011] TC_06 - Step 07 : Enter special charactor into name field
[2023-01-29 18:54:14,193] TC_06 - Step 08 : Verify error message
[2023-01-29 18:54:14,262]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:14,265] TC_07 - Email cannot be empty
[2023-01-29 18:54:14,265] TC_07 - Step 01 : Press Tab and move the next field 
[2023-01-29 18:54:14,450] TC_07 - Step 02 : Verify message not be blank display
[2023-01-29 18:54:14,510]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:14,511] TC_07 - Step 03 : Enter first is blank phone
[2023-01-29 18:54:14,707] TC_07 - Step 04 : Verify error message
[2023-01-29 18:54:14,782]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:14,955] TC_07 - Step 05 : Verify error message
[2023-01-29 18:54:15,020]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:15,193] TC_07 - Step 06 : Verify error message
[2023-01-29 18:54:15,287]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:15,488] TC_07 - Step 07 : Verify error message
[2023-01-29 18:54:15,562]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:15,562] TC_07 - Step 08 : Enter first is blank phone
[2023-01-29 18:54:15,802] TC_07 - Step 09 : Verify error message
[2023-01-29 18:54:15,868]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:15,871] TC_08 - Step 01 :Tab all items
[2023-01-29 18:54:17,959] TC_08 - Step 02 :Verify require message display 
[2023-01-29 18:54:18,039]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,143]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,232]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,339]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,431]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,529]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,624]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,718]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,824]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:18,826] OS name = windows 11
[2023-01-29 18:54:18,826] Driver instance name = chromedriver: chrome on windows (ba8e0a3fc21e976b605ded03e9a49c93)
